Date,Month,Quarter,Year,Department,Region,Product_Category,Cost_Center,Revenue,COGS,Operating_Expenses,Depreciation,Interest_Expense,Tax_Expense,Budgeted_Revenue,Budgeted_Expense,Accounts_Receivable,Accounts_Payable,Cash_Balance
2024-01-01,Jan,Q1,2024,Sales,North America,Core Subscription,SAL-NO-01,193060.07,42957.87,57877.15,6757.1,4100.78,19528.12,185000.0,96200.0,280884.09,61035.12,231075.74
2024-02-01,Feb,Q1,2024,Sales,North America,Core Subscription,SAL-NO-01,188785.64,42409.93,61239.74,6607.5,4009.61,17884.53,187590.0,97546.8,265487.7,65480.5,232510.76
2024-03-01,Mar,Q1,2024,Sales,North America,Core Subscription,SAL-NO-01,174085.32,34926.55,64017.78,6092.99,4173.67,15569.84,190216.26,98912.46,239826.04,67993.46,237502.32
2024-04-01,Apr,Q2,2024,Sales,North America,Core Subscription,SAL-NO-01,190326.6,43305.39,59511.55,6661.43,4544.24,18312.96,192879.29,100297.23,272578.61,65699.86,233164.47
2024-05-01,May,Q2,2024,Sales,North America,Core Subscription,SAL-NO-01,205922.22,44627.56,51238.73,7207.28,3902.97,23746.96,195579.6,101701.39,298718.8,56798.58,233694.95
2024-06-01,Jun,Q2,2024,Sales,North America,Core Subscription,SAL-NO-01,195112.01,43371.14,63343.15,6828.92,2143.4,19062.1,198317.71,103125.21,267092.01,70622.88,236265.05
2024-07-01,Jul,Q3,2024,Sales,North America,Core Subscription,SAL-NO-01,194069.33,45497.48,61825.42,6792.43,4984.63,17992.65,201094.16,104568.96,275719.14,68750.14,240841.38
2024-08-01,Aug,Q3,2024,Sales,North America,Core Subscription,SAL-NO-01,219855.56,50591.81,65963.2,7694.94,3693.63,22058.88,203909.48,106032.93,313480.17,75047.24,241351.84
2024-09-01,Sep,Q3,2024,Sales,North America,Core Subscription,SAL-NO-01,208098.24,42819.6,65728.09,7283.44,2710.32,21493.63,206764.21,107517.39,282917.38,75503.18,245309.85
2024-10-01,Oct,Q4,2024,Sales,North America,Core Subscription,SAL-NO-01,202631.73,42302.22,60259.33,7092.11,2700.59,21666.6,209658.91,109022.63,276496.64,66692.04,243510.1
